CENTRAL POLLUTION CONTROL BOARD,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,
"Date: Thursday, Feb 22 2024",,,,,,
Time: 02:39:33 PM,,,,,,
State,Delhi,,,,,
City,Delhi,,,,,
Station,"Anand Vihar, Delhi - DPCC",,,,,
Parameter,"PM2.5,PM10,NO,NOx,Benzene",,,,,
AvgPeriod,24 Hours,,,,,
From,05-02-2022T00:00:00Z 00:00,,,,,
To,05-02-2024T00:00:59Z 00:00,,,,,
,,,,,,
"Anand Vihar, Delhi - DPCC",,,,,,
Prescribed Standards, ,0-60,0-100,0-80,0-200,0-5
Exceeding Standards, ,NA,NA,NA,NA,NA
Remarks,,,,,,
From Date,To Date,PM2.5,PM10,NO,NOx,Benzene
05-02-2022 00:00,06-02-2022 00:00,208.28,448.8,110.72,145.17,5.2
06-02-2022 00:00,07-02-2022 00:00,311.59,486.09,144.2,208.26,7.52
07-02-2022 00:00,08-02-2022 00:00,188.46,464.77,128.95,148.18,4.55
08-02-2022 00:00,09-02-2022 00:00,203.21,513.61,193.97,204.45,4.94
09-02-2022 00:00,10-02-2022 00:00,108.95,264.92,68.29,87,2.75
10-02-2022 00:00,11-02-2022 00:00,97.85,441.52,148.52,159.05,3.1
11-02-2022 00:00,12-02-2022 00:00,136.32,505.47,140.5,157.39,3.39
12-02-2022 00:00,13-02-2022 00:00,104.36,385.46,140.8,161.73,4.15
13-02-2022 00:00,14-02-2022 00:00,211.73,528.24,150.12,197.94,7.12
14-02-2022 00:00,15-02-2022 00:00,167.89,482.14,117.66,170.75,4.88
15-02-2022 00:00,16-02-2022 00:00,104.49,393.82,116.8,144.91,4.07
16-02-2022 00:00,17-02-2022 00:00,232.69,569.14,164.1,202.38,7.48
17-02-2022 00:00,18-02-2022 00:00,162.28,381.53,135.33,156.16,5.4
18-02-2022 00:00,19-02-2022 00:00,161.29,434.59,188.15,211.28,5.95
19-02-2022 00:00,20-02-2022 00:00,96.09,311.04,153.15,164.4,4.06
20-02-2022 00:00,21-02-2022 00:00,88.91,250.93,101.69,119.31,2
21-02-2022 00:00,22-02-2022 00:00,114.74,334.51,124.57,138.33,3.9
22-02-2022 00:00,23-02-2022 00:00,138.89,335.64,59.18,74.92,4.11
23-02-2022 00:00,24-02-2022 00:00,120.76,201.86,51.67,70.35,2.03
24-02-2022 00:00,25-02-2022 00:00,175.07,322.85,95.75,117.17,4.96
25-02-2022 00:00,26-02-2022 00:00,153.79,262.01,70.66,88.78,1.9
26-02-2022 00:00,27-02-2022 00:00,33.14,89.16,25.58,40.4,1.2
27-02-2022 00:00,28-02-2022 00:00,52.43,165.19,56.1,70.14,1.56
28-02-2022 00:00,01-03-2022 00:00,66.82,238.64,102.03,115.3,2.38
01-03-2022 00:00,02-03-2022 00:00,89.45,252.15,110.45,126.66,3.2
02-03-2022 00:00,03-03-2022 00:00,120.36,310.92,138.81,159.68,4.66
03-03-2022 00:00,04-03-2022 00:00,91.66,189.07,37.1,58.21,2.88
04-03-2022 00:00,05-03-2022 00:00,71.64,234.59,57.26,70.9,1.93
05-03-2022 00:00,06-03-2022 00:00,70.92,217.37,64.68,61.86,1.89
06-03-2022 00:00,07-03-2022 00:00,96.95,277.23,52.95,25.81,2.87
07-03-2022 00:00,08-03-2022 00:00,172.7,456.99,101.27,68.99,5.43
08-03-2022 00:00,09-03-2022 00:00,147.49,320.23,69.73,44.34,4.67
09-03-2022 00:00,10-03-2022 00:00,73.79,249,39.8,42.27,2.98
10-03-2022 00:00,11-03-2022 00:00,68.43,266.67,29.84,38.47,2.39
11-03-2022 00:00,12-03-2022 00:00,72.9,280.41,25.89,40.44,2.67
12-03-2022 00:00,13-03-2022 00:00,77.71,350,39.46,56.01,4.06
13-03-2022 00:00,14-03-2022 00:00,95.73,353.74,39.73,59.03,4.47
14-03-2022 00:00,15-03-2022 00:00,127.2,356.61,47.74,64.38,4.87
15-03-2022 00:00,16-03-2022 00:00,108.42,299.73,39.39,57.25,4.42
16-03-2022 00:00,17-03-2022 00:00,92.45,302.24,33.82,51.25,2.94
17-03-2022 00:00,18-03-2022 00:00,126.03,282,42.2,50.7,3.69
18-03-2022 00:00,19-03-2022 00:00,127.9,214.58,None,None,3.54
19-03-2022 00:00,20-03-2022 00:00,113.2,233.5,None,112.23,3.93
20-03-2022 00:00,21-03-2022 00:00,114.59,303.88,94.2,152.48,4.45
21-03-2022 00:00,22-03-2022 00:00,147.04,371.34,None,156.7,5.74
22-03-2022 00:00,23-03-2022 00:00,76.03,248.08,85.55,130.6,2.34
23-03-2022 00:00,24-03-2022 00:00,110.48,325.44,245.88,204.21,4.13
24-03-2022 00:00,25-03-2022 00:00,148.01,430.97,208.17,231.83,6.77
25-03-2022 00:00,26-03-2022 00:00,91.96,271.48,137.7,163.57,3.1
26-03-2022 00:00,27-03-2022 00:00,87.28,302.71,150.07,177.68,2.83
27-03-2022 00:00,28-03-2022 00:00,112.5,378.32,119.61,159.36,4.73
28-03-2022 00:00,29-03-2022 00:00,131.01,442.71,111.48,154.71,6.95
29-03-2022 00:00,30-03-2022 00:00,164.91,406.92,189.38,225.67,7.58
30-03-2022 00:00,31-03-2022 00:00,159.9,420.28,193.39,232.59,6.15
31-03-2022 00:00,01-04-2022 00:00,168.52,388.58,110.69,153.14,7.93
01-04-2022 00:00,02-04-2022 00:00,78.71,208.01,136.64,162.84,3.4
02-04-2022 00:00,03-04-2022 00:00,120.11,257.18,153.34,214.34,5.06
03-04-2022 00:00,04-04-2022 00:00,127.13,254.65,62.13,107.4,5.93
04-04-2022 00:00,05-04-2022 00:00,134.4,292.82,198.5,227.51,5.59
05-04-2022 00:00,06-04-2022 00:00,111.17,268.52,176.73,211.74,4.75
06-04-2022 00:00,07-04-2022 00:00,149.84,295.5,180.86,223.46,6.81
07-04-2022 00:00,08-04-2022 00:00,145.59,304.79,192.21,224.84,7.12
08-04-2022 00:00,09-04-2022 00:00,131.7,290.82,149.2,188.69,6.1
09-04-2022 00:00,10-04-2022 00:00,141.54,322.83,165.4,220.59,6.36
10-04-2022 00:00,11-04-2022 00:00,139.16,313.91,197.28,225.49,6.94
11-04-2022 00:00,12-04-2022 00:00,129.89,363.48,167,207.68,5.61
12-04-2022 00:00,13-04-2022 00:00,141.17,321.54,211.75,231.81,6.54
13-04-2022 00:00,14-04-2022 00:00,160.67,473.34,178.17,209.96,5.29
14-04-2022 00:00,15-04-2022 00:00,97.04,396.42,97.78,128.81,2.26
15-04-2022 00:00,16-04-2022 00:00,87.24,287.02,55.38,104.12,3.37
16-04-2022 00:00,17-04-2022 00:00,124.21,307.2,95.23,138.42,3.97
17-04-2022 00:00,18-04-2022 00:00,143.17,361.64,113.18,156.08,5.45
18-04-2022 00:00,19-04-2022 00:00,143.55,456.52,123.57,177.66,5.41
19-04-2022 00:00,20-04-2022 00:00,184.82,511.89,218.17,254.82,7.44
20-04-2022 00:00,21-04-2022 00:00,97,348.58,186.09,204.71,4.68
21-04-2022 00:00,22-04-2022 00:00,124.84,431.48,155.99,172.77,3.79
22-04-2022 00:00,23-04-2022 00:00,127.05,312.69,72.41,106.03,3.99
23-04-2022 00:00,24-04-2022 00:00,140.7,349.35,146.88,174.11,4.04
24-04-2022 00:00,25-04-2022 00:00,145.05,332.4,103.67,133.68,2.3
25-04-2022 00:00,26-04-2022 00:00,122.94,322.13,85.54,112.82,1.77
